"Time_ka","alphaflux","a_U238","a_U234","a_Th230","r234_238","r230_234","Dr238_alpha","Dr238_beta","Dr238_gamma","Dr238","Dr234_alpha","Dr234_beta","Dr234_gamma","Dr234","Dr230_alpha","Dr230_beta","Dr230_gamma","Dr230","Dr_U238chain_alpha","Dr_U238chain_beta","Dr_U238chain_gamma","Dr_U238chain_total","Dr_U235","Dr_Th232","Dr.cosmic","Dr_total","De"
45,18931.102988287,8.27562292,21.0316779005097,7.38602543499205,2.54140118560522,0.351185743236065,0.01960349248,0.036716,0.0005695,0.05688899248,0.0595954219013111,0.00119191715604885,8.51369397177749e-05,0.0608724759970777,0.163519028763876,0.0516652636924182,0.0322608909283097,0.247445183384604,0.242717943145187,0.089573180848467,0.0329155278680275,0.365206651861681,0.01367513952,0.0019040976624,0.051,0.431785889044081,14.4444744800293
46,19138.3006159979,8.27562292,20.9957497357472,7.51061620127648,2.53705974024095,0.357720790912694,0.01960349248,0.036716,0.0005695,0.05688899248,0.0594936157521636,0.001189881018173,8.49915012980717e-05,0.0607684882716346,0.16627734056162,0.0525367763686716,0.0328050820033545,0.251619198933646,0.245374448793783,0.0904426573868446,0.0334595735046526,0.369276679685281,0.01367513952,0.0019040976624,0.051,0.435855916867681,14.8782974394727
47,19342.9873181923,8.27562292,20.9599227647335,7.63373988875603,2.532730522808,0.364206489424681,0.01960349248,0.036716,0.0005695,0.05688899248,0.0593920963459084,0.00118785061519695,8.48464725140681e-05,0.0606647934336194,0.169003172739113,0.0533980268255516,0.0333428651300753,0.25574406469474,0.247998761565021,0.0913018774407485,0.0339972116025894,0.373297850608359,0.01367513952,0.0019040976624,0.051,0.439877087790759,15.3161659825738
48,19545.187787726,8.27562292,20.9241967024505,7.75541083403412,2.52841349886572,0.370643181399926,0.01960349248,0.036716,0.0005695,0.05688899248,0.0592908628749178,0.00118582593096802,8.47018522120016e-05,0.0605613906580978,0.171696842694052,0.0542491153476296,0.0338743029282942,0.259820260969976,0.25059119804897,0.0921509412785976,0.0345285047805062,0.377270644108074,0.01367513952,0.0019040976624,0.051,0.443849881290474,15.7580314923059
49,19744.9264868094,8.27562292,20.8885712646831,7.87564324003987,2.52410863407042,0.377031207172865,0.01960349248,0.036716,0.0005695,0.05688899248,0.0591899145338384,0.00118380694937903,8.45576392413591e-05,0.0604582791224588,0.174358664864724,0.0550901412844253,0.0343994574339669,0.263848263583116,0.253152071878562,0.0929899482338043,0.0350535150732083,0.381195535185575,0.01367513952,0.0019040976624,0.051,0.447774772367975,16.2038458288797
50,19942.2276491294,8.27562292,20.8530461680163,7.99445117725759,2.51981589417517,0.383370904799473,0.01960349248,0.036716,0.0005695,0.05688899248,0.0590892505195855,0.00118179365436815,8.44138324548681e-05,0.0603554580064086,0.17698895075722,0.0559212030590064,0.0349183901045532,0.26782854392078,0.255681693756806,0.0938189967133746,0.0355723039370081,0.385072994407188,0.01367513952,0.0019040976624,0.051,0.451652231589588,16.653561325289
51,20137.1152819526,8.27562292,20.8176211298338,8.11184858494495,2.51553524502949,0.389662610072186,0.01960349248,0.036716,0.0005695,0.05688899248,0.0589888700313362,0.00117978602991883,8.42704307084878e-05,0.0602529264919636,0.179588008972412,0.0567423981765101,0.035431161824337,0.271761568973259,0.258180371483748,0.0946381842064289,0.0360849322550455,0.388903487945223,0.01367513952,0.0019040976624,0.051,0.455482725127623,17.1071307828952
52,20329.6131682094,8.27562292,20.782295868315,8.22784927234003,2.51126665257907,0.395906656534725,0.01960349248,0.036716,0.0005695,0.05688899248,0.058888772270523,0.00117778406005958,8.41274328613989e-05,0.0601506837634439,0.18215614523267,0.0575538232325863,0.0359378329096994,0.275647801374955,0.260648409983193,0.0954476072926459,0.0365914603425608,0.392687477618399,0.01367513952,0.0019040976624,0.051,0.459266714800799,17.5645074670545
53,20519.7448685578,8.27562292,20.7470701024332,8.34246691985718,2.50701008286555,0.402103375496801,0.01960349248,0.036716,0.0005695,0.05688899248,0.0587889564408277,0.00117578772886394,8.39848377759959e-05,0.0600487290074677,0.184693662408336,0.0583555739217625,0.0364384631143413,0.27948769944444,0.263086111329164,0.0962473616506265,0.0370919479521173,0.396425420931908,0.01367513952,0.0019040976624,0.051,0.463004658114308,18.0256451027835
54,20707.5337234302,8.27562292,20.7119435519533,8.45571508027217,2.5027655020262,0.408253096048764,0.01960349248,0.036716,0.0005695,0.05688899248,0.0586894217481754,0.00117379702045029,8.38426443178776e-05,0.0599470614129436,0.18720086054397,0.0591477450457343,0.0369331116344602,0.283281717224165,0.265493774772145,0.0970375420661846,0.0375864542787781,0.400117771117108,0.01367513952,0.0019040976624,0.051,0.466697008299508,18.4904978704663
